상가업소번호,상호명,업종코드,업종명,시도명,시군구코드,시군구명,행정동코드,행정동명,지번본번지,지번부번지,지번주소,경도,위도,code,y,x,area_code
20388626,보떼샹뜨,D16A01,화장품판매점,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.057100286394,37.5129393969289,504003,445941.76218122244,205048.24701150547,1000935.0
20388644,용대황태영농조합,Q01A18,황태전문,서울특별시,11680,강남구,1168065600,도곡2동,467,17.0,서울특별시 강남구 도곡동 467-17,127.054163435442,37.4892992237675,101018,443317.8550904696,204790.1094064084,1001035.0
20391677,카페루이스,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168053100,논현2동,237,5.0,서울특별시 강남구 논현동 237-5,127.037237776954,37.5093731832252,109001,445545.0775879943,203292.35538977187,1000913.0
20664001,가자家,Q01A01,한식/백반/한정식,서울특별시,11680,강남구,1168061000,대치2동,942,18.0,서울특별시 강남구 대치동 942-18,127.058520470266,37.506138745319,101001,445187.05383085366,205174.2751525077,1001088.0
20612449,필그림,Q06A01,정통양식/경양식,서울특별시,11680,강남구,1168064000,역삼1동,838,7.0,서울특별시 강남구 역삼동 838-7,127.03302561868,37.490425625338794,104001,443442.0051877303,202920.67787193094,1001052.0
20687169,커피빈,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168063000,대치4동,890,60.0,서울특별시 강남구 대치동 890-60,127.05314307701299,37.504735168954,109001,445030.9928028444,204698.9036060701,1001082.0
20678729,곱창원정대,Q01A03,곱창/양구이전문,서울특별시,11680,강남구,1168052100,논현1동,144,7.0,서울특별시 강남구 논현동 144-7,127.023294107735,37.5091595923612,101003,445520.97520741494,202059.5402059804,1001471.0
20688504,더클럽객석3층,Q07A04,패스트푸드,서울특별시,11680,강남구,1168064000,역삼1동,679,,서울특별시 강남구 역삼동 679,127.037277378321,37.5018857412981,106004,444714.0691421079,203296.18589933612,1001081.0
20690753,탐앤탐스,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168058000,삼성1동,159,,서울특별시 강남구 삼성동 159,127.057100286394,37.5129393969289,109001,445941.76218122244,205048.24701150547,1000935.0
20660924,씨제이올리브영,D03B04,시장/종합상가,서울특별시,11680,강남구,1168064000,역삼1동,705,25.0,서울특별시 강남구 역삼동 705-25,127.04828412950899,37.5052727963886,120002,445090.4310152102,204269.24548908047,1001087.0
20610976,이지웨이강남역,Q07A04,패스트푸드,서울특별시,11680,강남구,1168064000,역삼1동,815,4.0,서울특별시 강남구 역삼동 815-4,127.026806996751,37.500817795204796,106004,444595.2257334343,202370.39476451487,1001085.0
20611633,라콜롬보코리아,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168056500,청담동,78,6.0,서울특별시 강남구 청담동 78-6,127.04137541350599,37.5272296661429,109001,447527.07481669256,203657.31042353733,1001138.0
20715565,세덴광택,F14A05,광택전문,서울특별시,11680,강남구,1168052100,논현1동,5,6.0,서울특별시 강남구 논현동 5-6,127.024190179913,37.5176549143685,403002,446463.8679801426,202138.5236991761,1001117.0
20693811,아웃백스테이크하우스,Q06A05,패밀리레스토랑,서울특별시,11680,강남구,1168064000,역삼1동,838,,서울특별시 강남구 역삼동 838,127.032148559881,37.49003999953911,104005,443399.1789425607,202843.1282695484,1001052.0
20697727,공영식품소소야,Q07A04,패스트푸드,서울특별시,11680,강남구,1168051000,신사동,579,6.0,서울특별시 강남구 신사동 579-6,127.027091404076,37.5259595125063,106004,447385.6440586685,202394.7398894318,1000899.0
20684065,네일원,F01A02,발/네일케어,서울특별시,11680,강남구,1168063000,대치4동,904,4.0,서울특별시 강남구 대치동 904-4,127.05579120053001,37.5028190950478,502001,444818.46879222756,204933.1764146028,1000923.0
20592454,클럽오유,Q07A04,패스트푸드,서울특별시,11680,강남구,1168054500,압구정동,657,37.0,서울특별시 강남구 신사동 657-37,127.038915426456,37.5258490845062,106004,447373.7546452093,203439.92737023934,1001141.0
20732223,정호진,D05A03,여성의류전문점,서울특별시,11680,강남구,1168058000,삼성1동,159,7.0,서울특별시 강남구 삼성동 159-7,127.05974496334998,37.5086083814458,701003,445461.21984002827,205282.36862550775,1001496.0
